Notes	County of Residence	County of Residence Code	Year	Year Code	Births
	"Unidentified Counties, NY"	36999	2020	2020	1145
	"Unidentified Counties, NY"	36999	2021	2021	1190
Total	"Unidentified Counties, NY"	36999			7051
Total					102500
---					
"Dataset: Natality, 2016-2021 expanded"					
Query Parameters:					
Infant Birth Weight 12: 500 - 999 grams; 1000 - 1499 grams; 1500 - 1999 grams; 2000 - 2499 grams					
Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino					
Mother's Single Race 6: Asian; Black or African American; White					
States: New York (36)					
Group By: County of Residence; Year					
Show Totals: True					
Show Zero Values: False					
Show Suppressed: True					
"Calculate Rates Per: 1,000"					
---					
Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information.					
---					
"Query Date: Apr 14, 2023 10:21:54 PM"					
---					
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"					
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2021, as compiled from data provided by"					
the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at					
"http://wonder.cdc.gov/natality-expanded-current.html on Apr 14, 2023 10:21:54 PM"					
---					
Caveats:					
1. Each birth record represents one liveborn infant.					
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"					
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""					
"3. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."					
"4. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."					
"5. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."					
"6. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."					
"7. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."					
