Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Year	Year Code	Mother's Weight Gain Recode	Mother's Weight Gain Recode Code	Births
	"Broome County, NY"	36007	Asian	A	2020	2020	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Asian	A	2020	2020	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Asian	A	2020	2020	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Asian	A	2020	2020	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Asian	A	2021	2021	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Asian	A	2021	2021	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Asian	A	2021	2021	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Asian	A	2021	2021	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Asian	A	2021	2021	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2016	2016	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2016	2016	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2016	2016	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2016	2016	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2016	2016	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2017	2017	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2017	2017	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2017	2017	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2017	2017	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2017	2017	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2018	2018	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2018	2018	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2018	2018	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2018	2018	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2018	2018	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2019	2019	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2019	2019	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2019	2019	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2019	2019	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2019	2019	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2020	2020	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2020	2020	11 to 20 pounds	2	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2020	2020	21 to 30 pounds	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2020	2020	31 to 40 pounds	4	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2020	2020	41 to 98 pounds	5	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2021	2021	Less than 11 pounds	1	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	2021	2021	11 to 20 pounds	2	Suppressed
