Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	30
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	24
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	18
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	15
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	17
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	19
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	11
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	11
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	10
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	62
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	56
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	54
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	50
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	57
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	53
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2017	2017	13
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2018	2018	17
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2019	2019	13
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	83
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	67
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	76
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	65
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	68
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	80
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	14
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	12
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	10
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	16
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	11
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	20
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	90
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	82
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	82
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	85
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	71
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	64
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	31
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	30
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	26
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	25
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	30
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	45
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	288
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	319
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	312
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	271
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	266
	"Kings County, NY"	36047	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	259
