"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Richmond County, NY"	"36085"	"2019"	"2019"	"31 to 40 pounds"	"4"	15
	"Richmond County, NY"	"36085"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Richmond County, NY"	"36085"	"2020"	"2020"	"Less than 11 pounds"	"1"	15
	"Richmond County, NY"	"36085"	"2020"	"2020"	"11 to 20 pounds"	"2"	22
	"Richmond County, NY"	"36085"	"2020"	"2020"	"21 to 30 pounds"	"3"	31
	"Richmond County, NY"	"36085"	"2020"	"2020"	"31 to 40 pounds"	"4"	14
	"Richmond County, NY"	"36085"	"2020"	"2020"	"41 to 98 pounds"	"5"	11
	"Richmond County, NY"	"36085"	"2021"	"2021"	"Less than 11 pounds"	"1"	10
	"Richmond County, NY"	"36085"	"2021"	"2021"	"11 to 20 pounds"	"2"	27
	"Richmond County, NY"	"36085"	"2021"	"2021"	"21 to 30 pounds"	"3"	30
	"Richmond County, NY"	"36085"	"2021"	"2021"	"31 to 40 pounds"	"4"	16
	"Richmond County, NY"	"36085"	"2021"	"2021"	"41 to 98 pounds"	"5"	11
	"Rockland County, NY"	"36087"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Rockland County, NY"	"36087"	"2016"	"2016"	"11 to 20 pounds"	"2"	19
	"Rockland County, NY"	"36087"	"2016"	"2016"	"21 to 30 pounds"	"3"	18
	"Rockland County, NY"	"36087"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Rockland County, NY"	"36087"	"2017"	"2017"	"11 to 20 pounds"	"2"	21
	"Rockland County, NY"	"36087"	"2017"	"2017"	"21 to 30 pounds"	"3"	16
	"Rockland County, NY"	"36087"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"2018"	"2018"	"Less than 11 pounds"	"1"	11
	"Rockland County, NY"	"36087"	"2018"	"2018"	"11 to 20 pounds"	"2"	25
	"Rockland County, NY"	"36087"	"2018"	"2018"	"21 to 30 pounds"	"3"	17
	"Rockland County, NY"	"36087"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"2019"	"2019"	"Less than 11 pounds"	"1"	10
	"Rockland County, NY"	"36087"	"2019"	"2019"	"11 to 20 pounds"	"2"	16
	"Rockland County, NY"	"36087"	"2019"	"2019"	"21 to 30 pounds"	"3"	16
	"Rockland County, NY"	"36087"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"2020"	"2020"	"Less than 11 pounds"	"1"	14
	"Rockland County, NY"	"36087"	"2020"	"2020"	"11 to 20 pounds"	"2"	27
	"Rockland County, NY"	"36087"	"2020"	"2020"	"21 to 30 pounds"	"3"	16
	"Rockland County, NY"	"36087"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Rockland County, NY"	"36087"	"2021"	"2021"	"Less than 11 pounds"	"1"	14
	"Rockland County, NY"	"36087"	"2021"	"2021"	"11 to 20 pounds"	"2"	23
	"Rockland County, NY"	"36087"	"2021"	"2021"	"21 to 30 pounds"	"3"	12
	"Rockland County, NY"	"36087"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Rockland County, NY"	"36087"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"St. Lawrence County, NY"	"36089"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Saratoga County, NY"	"36091"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Saratoga County, NY"	"36091"	"2016"	"2016"	"11 to 20 pounds"	"2"	12
	"Saratoga County, NY"	"36091"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Saratoga County, NY"	"36091"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Saratoga County, NY"	"36091"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Saratoga County, NY"	"36091"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Saratoga County, NY"	"36091"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Saratoga County, NY"	"36091"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Saratoga County, NY"	"36091"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Saratoga County, NY"	"36091"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Saratoga County, NY"	"36091"	"2018"	"2018"	"Less than 11 pounds"	"1"	10
	"Saratoga County, NY"	"36091"	"2018"	"2018"	"11 to 20 pounds"	"2"	13
	"Saratoga County, NY"	"36091"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Saratoga County, NY"	"36091"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Saratoga County, NY"	"36091"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Saratoga County, NY"	"36091"	"2019"	"2019"	"Less than 11 pounds"	"1"	10
	"Saratoga County, NY"	"36091"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Saratoga County, NY"	"36091"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Saratoga County, NY"	"36091"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Saratoga County, NY"	"36091"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Saratoga County, NY"	"36091"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Saratoga County, NY"	"36091"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Saratoga County, NY"	"36091"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Saratoga County, NY"	"36091"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Saratoga County, NY"	"36091"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Saratoga County, NY"	"36091"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Saratoga County, NY"	"36091"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Saratoga County, NY"	"36091"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Saratoga County, NY"	"36091"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Saratoga County, NY"	"36091"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Schenectady County, NY"	"36093"	"2016"	"2016"	"Less than 11 pounds"	"1"	12
	"Schenectady County, NY"	"36093"	"2016"	"2016"	"11 to 20 pounds"	"2"	11
	"Schenectady County, NY"	"36093"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Schenectady County, NY"	"36093"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Schenectady County, NY"	"36093"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Schenectady County, NY"	"36093"	"2017"	"2017"	"Less than 11 pounds"	"1"	15
	"Schenectady County, NY"	"36093"	"2017"	"2017"	"11 to 20 pounds"	"2"	10
	"Schenectady County, NY"	"36093"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Schenectady County, NY"	"36093"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Schenectady County, NY"	"36093"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Schenectady County, NY"	"36093"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Schenectady County, NY"	"36093"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Schenectady County, NY"	"36093"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Schenectady County, NY"	"36093"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Schenectady County, NY"	"36093"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Schenectady County, NY"	"36093"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Schenectady County, NY"	"36093"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Schenectady County, NY"	"36093"	"2019"	"2019"	"21 to 30 pounds"	"3"	11
	"Schenectady County, NY"	"36093"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Schenectady County, NY"	"36093"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Schenectady County, NY"	"36093"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Schenectady County, NY"	"36093"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Schenectady County, NY"	"36093"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Schenectady County, NY"	"36093"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Schenectady County, NY"	"36093"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Schenectady County, NY"	"36093"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Schenectady County, NY"	"36093"	"2021"	"2021"	"11 to 20 pounds"	"2"	12
	"Schenectady County, NY"	"36093"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Schenectady County, NY"	"36093"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Schenectady County, NY"	"36093"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Suffolk County, NY"	"36103"	"2016"	"2016"	"Less than 11 pounds"	"1"	38
	"Suffolk County, NY"	"36103"	"2016"	"2016"	"11 to 20 pounds"	"2"	56
	"Suffolk County, NY"	"36103"	"2016"	"2016"	"21 to 30 pounds"	"3"	62
	"Suffolk County, NY"	"36103"	"2016"	"2016"	"31 to 40 pounds"	"4"	30
	"Suffolk County, NY"	"36103"	"2016"	"2016"	"41 to 98 pounds"	"5"	27
	"Suffolk County, NY"	"36103"	"2017"	"2017"	"Less than 11 pounds"	"1"	40
	"Suffolk County, NY"	"36103"	"2017"	"2017"	"11 to 20 pounds"	"2"	63
	"Suffolk County, NY"	"36103"	"2017"	"2017"	"21 to 30 pounds"	"3"	45
	"Suffolk County, NY"	"36103"	"2017"	"2017"	"31 to 40 pounds"	"4"	25
	"Suffolk County, NY"	"36103"	"2017"	"2017"	"41 to 98 pounds"	"5"	20
	"Suffolk County, NY"	"36103"	"2018"	"2018"	"Less than 11 pounds"	"1"	39
	"Suffolk County, NY"	"36103"	"2018"	"2018"	"11 to 20 pounds"	"2"	69
	"Suffolk County, NY"	"36103"	"2018"	"2018"	"21 to 30 pounds"	"3"	60
	"Suffolk County, NY"	"36103"	"2018"	"2018"	"31 to 40 pounds"	"4"	24
	"Suffolk County, NY"	"36103"	"2018"	"2018"	"41 to 98 pounds"	"5"	23
	"Suffolk County, NY"	"36103"	"2019"	"2019"	"Less than 11 pounds"	"1"	36
	"Suffolk County, NY"	"36103"	"2019"	"2019"	"11 to 20 pounds"	"2"	67
	"Suffolk County, NY"	"36103"	"2019"	"2019"	"21 to 30 pounds"	"3"	57
	"Suffolk County, NY"	"36103"	"2019"	"2019"	"31 to 40 pounds"	"4"	25
	"Suffolk County, NY"	"36103"	"2019"	"2019"	"41 to 98 pounds"	"5"	25
	"Suffolk County, NY"	"36103"	"2020"	"2020"	"Less than 11 pounds"	"1"	42
	"Suffolk County, NY"	"36103"	"2020"	"2020"	"11 to 20 pounds"	"2"	44
	"Suffolk County, NY"	"36103"	"2020"	"2020"	"21 to 30 pounds"	"3"	49
	"Suffolk County, NY"	"36103"	"2020"	"2020"	"31 to 40 pounds"	"4"	22
	"Suffolk County, NY"	"36103"	"2020"	"2020"	"41 to 98 pounds"	"5"	19
	"Suffolk County, NY"	"36103"	"2021"	"2021"	"Less than 11 pounds"	"1"	49
	"Suffolk County, NY"	"36103"	"2021"	"2021"	"11 to 20 pounds"	"2"	68
	"Suffolk County, NY"	"36103"	"2021"	"2021"	"21 to 30 pounds"	"3"	52
	"Suffolk County, NY"	"36103"	"2021"	"2021"	"31 to 40 pounds"	"4"	30
	"Suffolk County, NY"	"36103"	"2021"	"2021"	"41 to 98 pounds"	"5"	21
	"Tompkins County, NY"	"36109"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Tompkins County, NY"	"36109"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Tompkins County, NY"	"36109"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Tompkins County, NY"	"36109"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Tompkins County, NY"	"36109"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Tompkins County, NY"	"36109"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Tompkins County, NY"	"36109"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Tompkins County, NY"	"36109"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Tompkins County, NY"	"36109"	"2018"	"2018"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Tompkins County, NY"	"36109"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Tompkins County, NY"	"36109"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Tompkins County, NY"	"36109"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Tompkins County, NY"	"36109"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Tompkins County, NY"	"36109"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Tompkins County, NY"	"36109"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Tompkins County, NY"	"36109"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Tompkins County, NY"	"36109"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Tompkins County, NY"	"36109"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Tompkins County, NY"	"36109"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Tompkins County, NY"	"36109"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Tompkins County, NY"	"36109"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Tompkins County, NY"	"36109"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Tompkins County, NY"	"36109"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Tompkins County, NY"	"36109"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Tompkins County, NY"	"36109"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Ulster County, NY"	"36111"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Ulster County, NY"	"36111"	"2016"	"2016"	"11 to 20 pounds"	"2"	Suppressed
	"Ulster County, NY"	"36111"	"2016"	"2016"	"21 to 30 pounds"	"3"	Suppressed
	"Ulster County, NY"	"36111"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Ulster County, NY"	"36111"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Ulster County, NY"	"36111"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Ulster County, NY"	"36111"	"2017"	"2017"	"11 to 20 pounds"	"2"	Suppressed
	"Ulster County, NY"	"36111"	"2017"	"2017"	"21 to 30 pounds"	"3"	Suppressed
	"Ulster County, NY"	"36111"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Ulster County, NY"	"36111"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Ulster County, NY"	"36111"	"2018"	"2018"	"Less than 11 pounds"	"1"	12
	"Ulster County, NY"	"36111"	"2018"	"2018"	"11 to 20 pounds"	"2"	Suppressed
	"Ulster County, NY"	"36111"	"2018"	"2018"	"21 to 30 pounds"	"3"	Suppressed
	"Ulster County, NY"	"36111"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Ulster County, NY"	"36111"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Ulster County, NY"	"36111"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Ulster County, NY"	"36111"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Ulster County, NY"	"36111"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Ulster County, NY"	"36111"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Ulster County, NY"	"36111"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Ulster County, NY"	"36111"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Ulster County, NY"	"36111"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Ulster County, NY"	"36111"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Ulster County, NY"	"36111"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Ulster County, NY"	"36111"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Ulster County, NY"	"36111"	"2021"	"2021"	"Less than 11 pounds"	"1"	12
	"Ulster County, NY"	"36111"	"2021"	"2021"	"11 to 20 pounds"	"2"	10
	"Ulster County, NY"	"36111"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Ulster County, NY"	"36111"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Ulster County, NY"	"36111"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Westchester County, NY"	"36119"	"2016"	"2016"	"Less than 11 pounds"	"1"	34
	"Westchester County, NY"	"36119"	"2016"	"2016"	"11 to 20 pounds"	"2"	37
	"Westchester County, NY"	"36119"	"2016"	"2016"	"21 to 30 pounds"	"3"	48
	"Westchester County, NY"	"36119"	"2016"	"2016"	"31 to 40 pounds"	"4"	16
	"Westchester County, NY"	"36119"	"2016"	"2016"	"41 to 98 pounds"	"5"	12
	"Westchester County, NY"	"36119"	"2017"	"2017"	"Less than 11 pounds"	"1"	Suppressed
	"Westchester County, NY"	"36119"	"2017"	"2017"	"11 to 20 pounds"	"2"	48
	"Westchester County, NY"	"36119"	"2017"	"2017"	"21 to 30 pounds"	"3"	48
	"Westchester County, NY"	"36119"	"2017"	"2017"	"31 to 40 pounds"	"4"	27
	"Westchester County, NY"	"36119"	"2017"	"2017"	"41 to 98 pounds"	"5"	12
	"Westchester County, NY"	"36119"	"2018"	"2018"	"Less than 11 pounds"	"1"	19
	"Westchester County, NY"	"36119"	"2018"	"2018"	"11 to 20 pounds"	"2"	43
	"Westchester County, NY"	"36119"	"2018"	"2018"	"21 to 30 pounds"	"3"	50
	"Westchester County, NY"	"36119"	"2018"	"2018"	"31 to 40 pounds"	"4"	29
	"Westchester County, NY"	"36119"	"2018"	"2018"	"41 to 98 pounds"	"5"	10
	"Westchester County, NY"	"36119"	"2019"	"2019"	"Less than 11 pounds"	"1"	24
	"Westchester County, NY"	"36119"	"2019"	"2019"	"11 to 20 pounds"	"2"	40
	"Westchester County, NY"	"36119"	"2019"	"2019"	"21 to 30 pounds"	"3"	41
	"Westchester County, NY"	"36119"	"2019"	"2019"	"31 to 40 pounds"	"4"	25
	"Westchester County, NY"	"36119"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Westchester County, NY"	"36119"	"2020"	"2020"	"Less than 11 pounds"	"1"	27
	"Westchester County, NY"	"36119"	"2020"	"2020"	"11 to 20 pounds"	"2"	45
	"Westchester County, NY"	"36119"	"2020"	"2020"	"21 to 30 pounds"	"3"	37
	"Westchester County, NY"	"36119"	"2020"	"2020"	"31 to 40 pounds"	"4"	18
	"Westchester County, NY"	"36119"	"2020"	"2020"	"41 to 98 pounds"	"5"	12
	"Westchester County, NY"	"36119"	"2021"	"2021"	"Less than 11 pounds"	"1"	19
	"Westchester County, NY"	"36119"	"2021"	"2021"	"11 to 20 pounds"	"2"	59
	"Westchester County, NY"	"36119"	"2021"	"2021"	"21 to 30 pounds"	"3"	43
	"Westchester County, NY"	"36119"	"2021"	"2021"	"31 to 40 pounds"	"4"	17
	"Westchester County, NY"	"36119"	"2021"	"2021"	"41 to 98 pounds"	"5"	11
	"Unidentified Counties, NY"	"36999"	"2016"	"2016"	"Less than 11 pounds"	"1"	57
	"Unidentified Counties, NY"	"36999"	"2016"	"2016"	"11 to 20 pounds"	"2"	80
	"Unidentified Counties, NY"	"36999"	"2016"	"2016"	"21 to 30 pounds"	"3"	52
	"Unidentified Counties, NY"	"36999"	"2016"	"2016"	"31 to 40 pounds"	"4"	37
	"Unidentified Counties, NY"	"36999"	"2016"	"2016"	"41 to 98 pounds"	"5"	20
	"Unidentified Counties, NY"	"36999"	"2017"	"2017"	"Less than 11 pounds"	"1"	65
	"Unidentified Counties, NY"	"36999"	"2017"	"2017"	"11 to 20 pounds"	"2"	66
	"Unidentified Counties, NY"	"36999"	"2017"	"2017"	"21 to 30 pounds"	"3"	56
	"Unidentified Counties, NY"	"36999"	"2017"	"2017"	"31 to 40 pounds"	"4"	25
	"Unidentified Counties, NY"	"36999"	"2017"	"2017"	"41 to 98 pounds"	"5"	18
	"Unidentified Counties, NY"	"36999"	"2018"	"2018"	"Less than 11 pounds"	"1"	62
	"Unidentified Counties, NY"	"36999"	"2018"	"2018"	"11 to 20 pounds"	"2"	76
	"Unidentified Counties, NY"	"36999"	"2018"	"2018"	"21 to 30 pounds"	"3"	64
	"Unidentified Counties, NY"	"36999"	"2018"	"2018"	"31 to 40 pounds"	"4"	27
	"Unidentified Counties, NY"	"36999"	"2018"	"2018"	"41 to 98 pounds"	"5"	16
	"Unidentified Counties, NY"	"36999"	"2019"	"2019"	"Less than 11 pounds"	"1"	77
	"Unidentified Counties, NY"	"36999"	"2019"	"2019"	"11 to 20 pounds"	"2"	69
	"Unidentified Counties, NY"	"36999"	"2019"	"2019"	"21 to 30 pounds"	"3"	61
	"Unidentified Counties, NY"	"36999"	"2019"	"2019"	"31 to 40 pounds"	"4"	36
	"Unidentified Counties, NY"	"36999"	"2019"	"2019"	"41 to 98 pounds"	"5"	13
	"Unidentified Counties, NY"	"36999"	"2020"	"2020"	"Less than 11 pounds"	"1"	77
	"Unidentified Counties, NY"	"36999"	"2020"	"2020"	"11 to 20 pounds"	"2"	81
	"Unidentified Counties, NY"	"36999"	"2020"	"2020"	"21 to 30 pounds"	"3"	50
	"Unidentified Counties, NY"	"36999"	"2020"	"2020"	"31 to 40 pounds"	"4"	38
	"Unidentified Counties, NY"	"36999"	"2020"	"2020"	"41 to 98 pounds"	"5"	22
	"Unidentified Counties, NY"	"36999"	"2021"	"2021"	"Less than 11 pounds"	"1"	71
	"Unidentified Counties, NY"	"36999"	"2021"	"2021"	"11 to 20 pounds"	"2"	76
	"Unidentified Counties, NY"	"36999"	"2021"	"2021"	"21 to 30 pounds"	"3"	65
	"Unidentified Counties, NY"	"36999"	"2021"	"2021"	"31 to 40 pounds"	"4"	24
	"Unidentified Counties, NY"	"36999"	"2021"	"2021"	"41 to 98 pounds"	"5"	22
"---"
"Dataset: Natality, 2016-2021 expanded"
"Query Parameters:"
"Infant Birth Weight 12: 500 - 999 grams; 1000 - 1499 grams; 1500 - 1999 grams"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Mother's Single Race 6: Asian; Black or African American; White"
"Mother's Weight Gain Recode: Less than 11 pounds; 11 to 20 pounds; 21 to 30 pounds; 31 to 40 pounds; 41 to 98 pounds"
"Plurality: Single"
"Source of Payment for Delivery: Medicaid; Private Insurance; Self Pay"
"States: New York (36)"
"Group By: County of Residence; Year; Mother's Weight Gain Recode"
"Show Totals: Disabled"
