"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Jefferson County, NY"	"36045"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"2019"	"2019"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"2019"	"2019"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"2019"	"2019"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"2020"	"2020"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"2020"	"2020"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Jefferson County, NY"	"36045"	"2021"	"2021"	"Less than 11 pounds"	"1"	Suppressed
	"Jefferson County, NY"	"36045"	"2021"	"2021"	"11 to 20 pounds"	"2"	Suppressed
	"Jefferson County, NY"	"36045"	"2021"	"2021"	"21 to 30 pounds"	"3"	Suppressed
	"Jefferson County, NY"	"36045"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Jefferson County, NY"	"36045"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Kings County, NY"	"36047"	"2016"	"2016"	"Less than 11 pounds"	"1"	109
	"Kings County, NY"	"36047"	"2016"	"2016"	"11 to 20 pounds"	"2"	204
	"Kings County, NY"	"36047"	"2016"	"2016"	"21 to 30 pounds"	"3"	214
	"Kings County, NY"	"36047"	"2016"	"2016"	"31 to 40 pounds"	"4"	131
	"Kings County, NY"	"36047"	"2016"	"2016"	"41 to 98 pounds"	"5"	55
	"Kings County, NY"	"36047"	"2017"	"2017"	"Less than 11 pounds"	"1"	118
	"Kings County, NY"	"36047"	"2017"	"2017"	"11 to 20 pounds"	"2"	234
	"Kings County, NY"	"36047"	"2017"	"2017"	"21 to 30 pounds"	"3"	202
	"Kings County, NY"	"36047"	"2017"	"2017"	"31 to 40 pounds"	"4"	125
	"Kings County, NY"	"36047"	"2017"	"2017"	"41 to 98 pounds"	"5"	48
