BoroCode,BoroName,Year,race,hispanic origin,total births,500-2500g births,percentage
1,"New York County, NY",2021,Black or African American,Not Hispanic or Latino,1604,182,0.038029925
1,"New York County, NY",2021,White,Hispanic or Latino,2291,165,0.024443474
1,"New York County, NY",2021,White,Not Hispanic or Latino,5959,300,0.012753818
4,"Queens County, NY",2016,Asian,Hispanic or Latino,514,31,0
4,"Queens County, NY",2016,Asian,Not Hispanic or Latino,9363,678,0.016661326
4,"Queens County, NY",2016,Black or African American,Hispanic or Latino,976,71,0.017418033
4,"Queens County, NY",2016,Black or African American,Not Hispanic or Latino,4117,436,0.043964051
4,"Queens County, NY",2016,White,Hispanic or Latino,6871,387,0.020084413
4,"Queens County, NY",2016,White,Not Hispanic or Latino,6178,238,0.009550016
4,"Queens County, NY",2017,Asian,Hispanic or Latino,607,36,0.016474465
4,"Queens County, NY",2017,Asian,Not Hispanic or Latino,8842,681,0.020357385
4,"Queens County, NY",2017,Black or African American,Hispanic or Latino,1212,71,0.020627063
4,"Queens County, NY",2017,Black or African American,Not Hispanic or Latino,4117,429,0.039106145
4,"Queens County, NY",2017,White,Hispanic or Latino,6375,377,0.020078431
4,"Queens County, NY",2017,White,Not Hispanic or Latino,6096,247,0.011154856
4,"Queens County, NY",2018,Asian,Hispanic or Latino,102,10,0
4,"Queens County, NY",2018,Asian,Not Hispanic or Latino,8474,659,0.020533396
4,"Queens County, NY",2018,Black or African American,Hispanic or Latino,1006,66,0.021868787
4,"Queens County, NY",2018,Black or African American,Not Hispanic or Latino,4066,428,0.042302017
4,"Queens County, NY",2018,White,Hispanic or Latino,6639,365,0.011447507
4,"Queens County, NY",2018,White,Not Hispanic or Latino,5994,265,0.011344678
4,"Queens County, NY",2019,Asian,Hispanic or Latino,90,10,0
4,"Queens County, NY",2019,Asian,Not Hispanic or Latino,8297,666,0.022056165
4,"Queens County, NY",2019,Black or African American,Hispanic or Latino,1028,73,0.020428016
4,"Queens County, NY",2019,Black or African American,Not Hispanic or Latino,3846,411,0.039781591
4,"Queens County, NY",2019,White,Hispanic or Latino,6261,393,0.02172177
