Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2014,6b,45+,White Non-Hisp,PNC Unk,7
2014,6b,20-24,Black Hispanic,7th - 9th Month,120
2014,6b,35-39,Total Births,1st - 3rd Month,"30,814"
2014,6b,25-29,White Non-Hisp,7th - 9th Month,895
2014,6b,<15,White Non-Hisp,All,19
2014,6b,25-29,Black Non-Hisp,4th - 6th Month,"2,167"
2014,6b,<15,Other Hispanic,PNC Start Unk,0
2014,6b,25-29,White Hispanic,7th - 9th Month,421
2014,6b,<15,Other Non-Hisp,No PNC,0
2014,6b,Total,Other Hispanic,PNC Start Unk,105
2014,6b,30-34,Black Non-Hisp,7th - 9th Month,923
2014,6b,30-34,Black Hispanic,PNC Unk,8
2014,6b,30-34,White Non-Hisp,7th - 9th Month,760
2014,6b,40-44,Black Hispanic,PNC Start Unk,1
2014,6b,30-34,Total Births,1st - 3rd Month,"55,293"
2014,6b,30-34,Total Births,4th - 6th Month,"10,826"
2014,6b,40-44,White Non-Hisp,1st - 3rd Month,"3,959"
2014,6b,30-34,White Hispanic,No PNC,46
2014,6b,30-34,White Non-Hisp,1st - 3rd Month,"31,868"
2014,6b,Total,White Non-Hisp,No PNC,448
2014,6b,N.S.,Other Non-Hisp,All,0
2014,6b,35-39,Other Hispanic,4th - 6th Month,600
2014,6b,N.S.,Total Births,All,6
2014,6b,20-24,Black Non-Hisp,1st - 3rd Month,"4,561"
2014,6b,N.S.,White Non-Hisp,1st - 3rd Month,2
2014,6b,30-34,Black Hispanic,PNC Start Unk,12
2014,6b,40-44,White Non-Hisp,4th - 6th Month,688
2014,6b,45+,Other Hispanic,No PNC,1
2014,6b,N.S.,Black Non-Hisp,7th - 9th Month,0
2014,6b,40-44,Total Births,PNC Start Unk,214
2014,6b,N.S.,Other Non-Hisp,7th - 9th Month,0
2014,6b,Total,Black Non-Hisp,7th - 9th Month,"3,462"
2014,6b,30-34,Other Non-Hisp,PNC Start Unk,49
2014,6b,N.S.,White Hispanic,No PNC,0
2014,6b,25-29,White Non-Hisp,No PNC,116
2014,6b,30-34,Black Hispanic,1st - 3rd Month,649
2014,6b,25-29,Black Hispanic,7th - 9th Month,98
2014,6b,30-34,Black Non-Hisp,PNC Unk,156
2014,6b,N.S.,Other Non-Hisp,PNC Start Unk,0
2014,6b,15-17,Other Non-Hisp,No PNC,5
2014,6b,40-44,Other Non-Hisp,7th - 9th Month,68
2014,6b,45+,White Hispanic,7th - 9th Month,4
2014,6b,45+,Other Non-Hisp,4th - 6th Month,20
2014,6b,Total,White Hispanic,7th - 9th Month,"1,714"
2014,6b,20-24,Total Births,No PNC,390
2014,6b,N.S.,Black Non-Hisp,PNC Start Unk,0
2014,6b,20-24,Other Non-Hisp,4th - 6th Month,941
2014,6b,30-34,Other Hispanic,PNC Unk,44
2014,6b,<15,Other Non-Hisp,7th - 9th Month,2
2014,6b,40-44,Total Births,1st - 3rd Month,"7,211"
2014,6b,<15,Black Non-Hisp,No PNC,0
2014,6b,40-44,Other Non-Hisp,PNC Start Unk,9
2014,6b,15-17,Other Non-Hisp,1st - 3rd Month,62
2014,6b,N.S.,Other Hispanic,No PNC,0
2014,6b,Total,Other Non-Hisp,PNC Unk,389
2014,6b,25-29,Other Non-Hisp,All,"8,751"
2014,6b,20-24,Black Hispanic,PNC Start Unk,12
2014,6b,18-19,Black Non-Hisp,No PNC,34
2014,6b,45+,White Non-Hisp,PNC Start Unk,18
2014,6b,25-29,Other Hispanic,7th - 9th Month,334
2014,6b,40-44,White Hispanic,PNC Start Unk,7
2014,6b,Total,White Hispanic,No PNC,208
2014,6b,N.S.,White Non-Hisp,PNC Unk,0
2014,6b,25-29,White Hispanic,PNC Unk,100
2014,6b,40-44,Black Hispanic,4th - 6th Month,29
2014,6b,<15,Other Hispanic,All,28
2014,6b,40-44,Black Non-Hisp,PNC Start Unk,12
2014,6b,N.S.,Total Births,PNC Unk,1
2014,6b,18-19,Other Hispanic,PNC Unk,18
2014,6b,30-34,White Hispanic,PNC Unk,107
2014,6b,<15,Total Births,7th - 9th Month,23
2014,6b,<15,Total Births,1st - 3rd Month,34
2014,6b,18-19,Black Non-Hisp,All,"1,588"
2014,6b,40-44,Other Non-Hisp,PNC Unk,18
2014,6b,30-34,Other Non-Hisp,No PNC,23
2014,6b,35-39,White Non-Hisp,4th - 6th Month,"2,507"
2014,6b,25-29,Total Births,All,"63,670"
2014,6b,30-34,Other Hispanic,4th - 6th Month,"1,060"
2014,6b,40-44,Other Hispanic,PNC Start Unk,4
2014,6b,35-39,Black Non-Hisp,7th - 9th Month,512
2014,6b,40-44,White Hispanic,7th - 9th Month,30
2014,6b,15-17,Total Births,PNC Unk,46
2014,6b,25-29,Total Births,PNC Unk,"1,118"
2014,6b,15-17,Other Hispanic,PNC Start Unk,3
2014,6b,35-39,Total Births,PNC Start Unk,882
2014,6b,45+,Black Hispanic,1st - 3rd Month,9
2014,6b,30-34,White Non-Hisp,PNC Start Unk,386
2014,6b,45+,Total Births,PNC Unk,14
2014,6b,18-19,Other Non-Hisp,No PNC,7
2014,6b,20-24,Other Hispanic,1st - 3rd Month,"3,042"
2014,6b,Total,White Hispanic,PNC Unk,453
2014,6b,20-24,White Non-Hisp,4th - 6th Month,"3,721"
2014,6b,Total,Other Non-Hisp,PNC Start Unk,121
2014,6b,25-29,Black Hispanic,PNC Unk,16
2014,6b,18-19,White Non-Hisp,7th - 9th Month,141
2014,6b,Total,Other Hispanic,7th - 9th Month,"1,241"
2014,6b,18-19,White Hispanic,No PNC,10
2014,6b,45+,Other Non-Hisp,PNC Start Unk,0
2014,6b,Total,Black Non-Hisp,PNC Unk,739
2014,6b,15-17,Black Non-Hisp,PNC Unk,13
2014,6b,45+,Black Non-Hisp,4th - 6th Month,39
2014,6b,18-19,White Non-Hisp,PNC Unk,38
2014,6b,25-29,Other Hispanic,All,"5,693"
2014,6b,30-34,White Hispanic,1st - 3rd Month,"5,493"
2014,6b,15-17,Black Hispanic,1st - 3rd Month,41
2014,6b,Total,White Non-Hisp,All,"114,906"
2014,6b,35-39,Black Hispanic,4th - 6th Month,128
2014,6b,15-17,Total Births,4th - 6th Month,926
2014,6b,Total,Total Births,PNC Start Unk,"3,686"
2014,6b,45+,Other Hispanic,4th - 6th Month,12
2014,6b,<15,Black Hispanic,1st - 3rd Month,1
2014,6b,40-44,Black Hispanic,7th - 9th Month,8
2014,6b,40-44,Black Non-Hisp,No PNC,15
2014,6b,N.S.,White Non-Hisp,No PNC,0
2014,6b,<15,Other Hispanic,PNC Unk,0
2014,6b,20-24,Black Hispanic,4th - 6th Month,331
2014,6b,<15,Black Hispanic,No PNC,0
2014,6b,45+,Other Hispanic,All,49
2014,6b,N.S.,Total Births,4th - 6th Month,1
2014,6b,20-24,Other Non-Hisp,PNC Unk,73
2014,6b,<15,Other Hispanic,7th - 9th Month,3
2014,6b,Total,Other Non-Hisp,1st - 3rd Month,"22,269"
2014,6b,20-24,Black Non-Hisp,No PNC,130
2014,6b,25-29,White Non-Hisp,PNC Start Unk,274
2014,6b,35-39,Other Non-Hisp,1st - 3rd Month,"4,395"
2014,6b,20-24,Other Hispanic,4th - 6th Month,"1,353"
2014,6b,25-29,Other Non-Hisp,1st - 3rd Month,"6,344"
2014,6b,30-34,Other Hispanic,7th - 9th Month,232
2014,6b,15-17,Other Non-Hisp,PNC Start Unk,1
2014,6b,30-34,White Non-Hisp,4th - 6th Month,"4,581"
2014,6b,<15,Other Non-Hisp,1st - 3rd Month,1
2014,6b,25-29,White Hispanic,No PNC,36
2014,6b,18-19,Other Hispanic,1st - 3rd Month,609
2014,6b,25-29,Other Hispanic,4th - 6th Month,"1,334"
2014,6b,20-24,Other Hispanic,All,"4,900"
2014,6b,35-39,Other Non-Hisp,7th - 9th Month,255
2014,6b,45+,Other Non-Hisp,7th - 9th Month,1
2014,6b,15-17,Black Hispanic,No PNC,2
2014,6b,30-34,Other Hispanic,No PNC,19
2014,6b,<15,Total Births,PNC Start Unk,0
2014,6b,35-39,Black Hispanic,7th - 9th Month,29
2014,6b,15-17,Black Hispanic,PNC Start Unk,1
2014,6b,<15,White Hispanic,All,21
2014,6b,20-24,White Hispanic,4th - 6th Month,"1,675"
2014,6b,15-17,White Hispanic,1st - 3rd Month,297
2014,6b,<15,Black Non-Hisp,1st - 3rd Month,3
2014,6b,40-44,Total Births,7th - 9th Month,400
2014,6b,35-39,Black Non-Hisp,1st - 3rd Month,"3,610"
2014,6b,45+,Total Births,PNC Start Unk,32
2014,6b,Total,Black Hispanic,PNC Unk,50
2014,6b,40-44,Other Non-Hisp,4th - 6th Month,247
2014,6b,35-39,White Hispanic,1st - 3rd Month,"3,243"
2014,6b,15-17,Black Non-Hisp,7th - 9th Month,86
2014,6b,40-44,White Non-Hisp,No PNC,15
2014,6b,Total,White Hispanic,PNC Start Unk,169
2014,6b,20-24,White Hispanic,PNC Unk,118
2014,6b,20-24,Other Hispanic,PNC Start Unk,30
2014,6b,45+,Other Non-Hisp,1st - 3rd Month,81
2014,6b,20-24,White Non-Hisp,1st - 3rd Month,"12,405"
2014,6b,20-24,Black Non-Hisp,All,"7,847"
2014,6b,35-39,Other Hispanic,No PNC,12
2014,6b,15-17,White Hispanic,All,591
2014,6b,25-29,White Non-Hisp,PNC Unk,498
2014,6b,45+,White Hispanic,All,70
2014,6b,Total,Total Births,No PNC,"1,379"
2014,6b,Total,Other Hispanic,All,"20,695"
2014,6b,20-24,White Hispanic,All,"6,359"
2014,6b,35-39,Black Hispanic,All,517
2014,6b,<15,White Non-Hisp,PNC Unk,0
2014,6b,18-19,Other Hispanic,7th - 9th Month,110
2014,6b,35-39,White Non-Hisp,PNC Unk,308
2014,6b,30-34,Other Hispanic,PNC Start Unk,25
2014,6b,Total,Other Hispanic,4th - 6th Month,"5,084"
2014,6b,<15,Total Births,All,102
2014,6b,40-44,White Hispanic,PNC Unk,9
2014,6b,30-34,White Non-Hisp,All,"38,334"
2014,6b,15-17,Black Hispanic,PNC Unk,4
2014,6b,<15,Other Non-Hisp,PNC Unk,0
2014,6b,40-44,White Non-Hisp,All,"4,909"
2014,6b,30-34,Black Non-Hisp,4th - 6th Month,"1,867"
2014,6b,40-44,Other Hispanic,All,637
2014,6b,40-44,White Hispanic,No PNC,1
2014,6b,N.S.,Black Non-Hisp,PNC Unk,0
2014,6b,15-17,Black Hispanic,All,103
2014,6b,N.S.,Black Hispanic,PNC Unk,0
2014,6b,N.S.,Other Hispanic,7th - 9th Month,0
2014,6b,15-17,Black Non-Hisp,All,638
2014,6b,<15,Black Hispanic,All,6
2014,6b,15-17,Other Hispanic,PNC Unk,5
2014,6b,20-24,White Non-Hisp,PNC Unk,343
2014,6b,Total,White Hispanic,1st - 3rd Month,"20,176"
2014,6b,<15,Black Non-Hisp,PNC Unk,1
2014,6b,18-19,Black Hispanic,All,260
2014,6b,25-29,Other Non-Hisp,No PNC,29
2014,6b,45+,White Hispanic,PNC Start Unk,1
2014,6b,<15,Other Hispanic,No PNC,3
2014,6b,45+,White Hispanic,No PNC,0
2014,6b,N.S.,White Non-Hisp,4th - 6th Month,1
2014,6b,20-24,Black Hispanic,1st - 3rd Month,633
2014,6b,40-44,Black Non-Hisp,All,"1,550"
2014,6b,N.S.,Other Non-Hisp,No PNC,0
2014,6b,15-17,Black Non-Hisp,1st - 3rd Month,264
2014,6b,20-24,White Hispanic,PNC Start Unk,24
2014,6b,<15,Black Non-Hisp,4th - 6th Month,11
2014,6b,Total,White Non-Hisp,1st - 3rd Month,"91,357"
2014,6b,15-17,Black Non-Hisp,PNC Start Unk,8
2014,6b,20-24,Black Hispanic,PNC Unk,15
2014,6b,35-39,Total Births,4th - 6th Month,"6,145"
2014,6b,40-44,White Hispanic,All,"1,019"
2014,6b,Total,White Hispanic,All,"29,183"
2014,6b,Total,Black Hispanic,PNC Start Unk,39
2014,6b,35-39,Other Non-Hisp,PNC Unk,66
2014,6b,N.S.,Black Hispanic,7th - 9th Month,0
2014,6b,18-19,White Hispanic,PNC Unk,28
2014,6b,<15,White Hispanic,PNC Start Unk,0
2014,6b,25-29,Other Hispanic,PNC Unk,84
2014,6b,20-24,Other Hispanic,No PNC,39
2014,6b,30-34,Other Hispanic,1st - 3rd Month,"3,615"
2014,6b,18-19,Black Hispanic,PNC Unk,4
2014,6b,20-24,Black Non-Hisp,PNC Start Unk,72
2014,6b,45+,Total Births,1st - 3rd Month,619
2014,6b,40-44,White Hispanic,1st - 3rd Month,763
2014,6b,<15,Total Births,PNC Unk,1
2014,6b,25-29,Other Non-Hisp,7th - 9th Month,533
2014,6b,30-34,Other Non-Hisp,1st - 3rd Month,"7,845"
2014,6b,Total,Other Hispanic,PNC Unk,280
2014,6b,18-19,Total Births,All,"7,372"
2014,6b,18-19,Black Hispanic,No PNC,5
2014,6b,18-19,Black Hispanic,7th - 9th Month,30
2014,6b,40-44,White Non-Hisp,PNC Start Unk,69
2014,6b,<15,Black Hispanic,PNC Unk,0
2014,6b,25-29,Other Hispanic,1st - 3rd Month,"3,896"
2014,6b,45+,Other Non-Hisp,No PNC,0
2014,6b,N.S.,Other Non-Hisp,PNC Unk,0
2014,6b,15-17,Other Non-Hisp,7th - 9th Month,27
2014,6b,15-17,Black Non-Hisp,No PNC,18
2014,6b,15-17,White Non-Hisp,No PNC,9
2014,6b,Total,Black Non-Hisp,4th - 6th Month,"8,501"
2014,6b,40-44,Black Non-Hisp,7th - 9th Month,147
2014,6b,15-17,Total Births,All,"2,571"
2014,6b,18-19,Total Births,No PNC,91
2014,6b,25-29,Black Non-Hisp,7th - 9th Month,885
2014,6b,18-19,Total Births,PNC Start Unk,66
2014,6b,18-19,Total Births,1st - 3rd Month,"4,170"
2014,6b,35-39,Black Hispanic,1st - 3rd Month,354
2014,6b,N.S.,White Hispanic,1st - 3rd Month,0
2014,6b,N.S.,Black Non-Hisp,4th - 6th Month,0
2014,6b,40-44,Black Hispanic,1st - 3rd Month,65
2014,6b,20-24,White Hispanic,No PNC,78
2014,6b,35-39,Other Hispanic,PNC Start Unk,11
2014,6b,30-34,Black Non-Hisp,PNC Start Unk,76
2014,6b,Total,Other Non-Hisp,No PNC,120
2014,6b,45+,Black Non-Hisp,All,140
2014,6b,35-39,White Hispanic,All,"4,371"
2014,6b,20-24,White Hispanic,7th - 9th Month,526
2014,6b,<15,White Hispanic,PNC Unk,0
2014,6b,N.S.,Black Non-Hisp,All,0
2014,6b,20-24,Black Non-Hisp,PNC Unk,204
2014,6b,40-44,Other Hispanic,1st - 3rd Month,441
2014,6b,35-39,Other Non-Hisp,No PNC,22
2014,6b,40-44,Black Non-Hisp,PNC Unk,22
2014,6b,18-19,Black Hispanic,PNC Start Unk,2
2014,6b,20-24,Black Hispanic,All,"1,121"
2014,6b,Total,Black Non-Hisp,No PNC,440
2014,6b,35-39,Total Births,PNC Unk,624
2014,6b,15-17,Other Non-Hisp,4th - 6th Month,49
2014,6b,35-39,White Hispanic,7th - 9th Month,179
2014,6b,30-34,White Hispanic,4th - 6th Month,"1,378"
2014,6b,25-29,White Hispanic,PNC Start Unk,38
2014,6b,15-17,Black Hispanic,4th - 6th Month,47
2014,6b,15-17,Other Non-Hisp,PNC Unk,2
2014,6b,N.S.,White Hispanic,4th - 6th Month,0
2014,6b,30-34,White Hispanic,PNC Start Unk,53
2014,6b,40-44,Black Hispanic,PNC Unk,0
2014,6b,35-39,Other Hispanic,7th - 9th Month,114
2014,6b,30-34,White Hispanic,All,"7,412"
2014,6b,45+,Black Hispanic,PNC Unk,0
2014,6b,25-29,Black Non-Hisp,1st - 3rd Month,"5,997"
2014,6b,20-24,Other Hispanic,PNC Unk,79
2014,6b,N.S.,Total Births,1st - 3rd Month,2
2014,6b,15-17,Total Births,No PNC,47
2014,6b,45+,Other Non-Hisp,All,103
2014,6b,40-44,Black Hispanic,All,103
2014,6b,25-29,Total Births,No PNC,316
2014,6b,20-24,Black Non-Hisp,7th - 9th Month,731
2014,6b,20-24,Black Non-Hisp,4th - 6th Month,"2,149"
2014,6b,Total,Black Hispanic,1st - 3rd Month,"2,618"
2014,6b,<15,Other Non-Hisp,4th - 6th Month,3
2014,6b,15-17,White Non-Hisp,7th - 9th Month,49
2014,6b,35-39,White Hispanic,PNC Start Unk,39
2014,6b,35-39,Black Non-Hisp,No PNC,56
2014,6b,45+,Black Hispanic,4th - 6th Month,2
2014,6b,25-29,Other Non-Hisp,PNC Unk,120
2014,6b,18-19,Black Hispanic,4th - 6th Month,78
2014,6b,45+,Total Births,7th - 9th Month,32
2014,6b,25-29,Other Hispanic,PNC Start Unk,22
2014,6b,18-19,White Non-Hisp,All,"2,497"
2014,6b,Total,Black Hispanic,All,"4,236"
2014,6b,35-39,Black Non-Hisp,PNC Unk,86
2014,6b,15-17,Other Hispanic,1st - 3rd Month,233
2014,6b,Total,Other Non-Hisp,7th - 9th Month,"1,767"
2014,6b,25-29,Black Non-Hisp,All,"9,445"
2014,6b,25-29,White Hispanic,4th - 6th Month,"1,733"
2014,6b,45+,White Non-Hisp,1st - 3rd Month,368
2014,6b,30-34,Total Births,PNC Start Unk,"1,327"
2014,6b,45+,Black Hispanic,PNC Start Unk,0
2014,6b,45+,White Hispanic,1st - 3rd Month,41
2014,6b,35-39,White Non-Hisp,7th - 9th Month,365
2014,6b,15-17,Other Hispanic,All,503
2014,6b,20-24,White Non-Hisp,No PNC,108
2014,6b,Total,White Non-Hisp,PNC Start Unk,"1,164"
2014,6b,18-19,White Hispanic,All,"1,374"
2014,6b,Total,Other Hispanic,1st - 3rd Month,"13,867"
2014,6b,45+,Other Hispanic,PNC Unk,0
2014,6b,18-19,Black Non-Hisp,1st - 3rd Month,784
2014,6b,<15,Black Non-Hisp,All,22
2014,6b,25-29,Black Non-Hisp,PNC Unk,214
2014,6b,25-29,White Non-Hisp,All,"29,983"
2014,6b,30-34,Other Hispanic,All,"4,995"
2014,6b,25-29,Black Hispanic,1st - 3rd Month,725
2014,6b,30-34,White Non-Hisp,No PNC,111
2014,6b,35-39,Other Hispanic,All,"2,761"
2014,6b,18-19,White Hispanic,1st - 3rd Month,755
2014,6b,35-39,White Non-Hisp,No PNC,67
2014,6b,35-39,Black Hispanic,PNC Unk,3
2014,6b,20-24,Other Non-Hisp,1st - 3rd Month,"2,334"
2014,6b,N.S.,White Non-Hisp,All,4
2014,6b,30-34,Total Births,PNC Unk,"1,121"
2014,6b,15-17,White Non-Hisp,PNC Unk,6
2014,6b,<15,Total Births,4th - 6th Month,40
2014,6b,15-17,Total Births,PNC Start Unk,22
2014,6b,18-19,White Hispanic,4th - 6th Month,448
2014,6b,20-24,Total Births,4th - 6th Month,"10,286"
2014,6b,40-44,White Non-Hisp,PNC Unk,65
2014,6b,Total,Total Births,7th - 9th Month,"11,743"
2014,6b,N.S.,Total Births,PNC Start Unk,0
2014,6b,N.S.,Black Hispanic,1st - 3rd Month,0
2014,6b,40-44,Other Hispanic,No PNC,3
2014,6b,45+,White Hispanic,PNC Unk,4
2014,6b,Total,Other Non-Hisp,4th - 6th Month,"5,719"
2014,6b,20-24,Total Births,7th - 9th Month,"2,808"
2014,6b,18-19,Black Non-Hisp,7th - 9th Month,160
2014,6b,18-19,Other Non-Hisp,PNC Unk,7
2014,6b,N.S.,White Hispanic,7th - 9th Month,1
2014,6b,40-44,Black Hispanic,No PNC,0
2014,6b,18-19,White Hispanic,PNC Start Unk,3
2014,6b,25-29,Other Non-Hisp,4th - 6th Month,"1,709"
2014,6b,18-19,Total Births,PNC Unk,146
2014,6b,30-34,Black Non-Hisp,No PNC,84
2014,6b,Total,Black Hispanic,No PNC,33
2014,6b,20-24,White Non-Hisp,7th - 9th Month,747
2014,6b,45+,Black Hispanic,7th - 9th Month,1
2014,6b,N.S.,Other Non-Hisp,1st - 3rd Month,0
2014,6b,<15,Black Non-Hisp,PNC Start Unk,0
2014,6b,40-44,Total Births,No PNC,46
2014,6b,<15,Other Hispanic,4th - 6th Month,9
2014,6b,25-29,Black Hispanic,No PNC,8
2014,6b,<15,Black Hispanic,PNC Start Unk,0
2014,6b,18-19,White Non-Hisp,1st - 3rd Month,"1,622"
2014,6b,30-34,Other Non-Hisp,4th - 6th Month,"1,655"
2014,6b,25-29,Total Births,4th - 6th Month,"11,867"
2014,6b,15-17,Black Hispanic,7th - 9th Month,8
2014,6b,18-19,Other Non-Hisp,4th - 6th Month,130
2014,6b,20-24,Other Non-Hisp,No PNC,23
2014,6b,<15,White Non-Hisp,4th - 6th Month,8
2014,6b,15-17,White Hispanic,PNC Start Unk,4
2014,6b,45+,Black Non-Hisp,PNC Unk,2
2014,6b,25-29,Other Hispanic,No PNC,23
2014,6b,30-34,Other Non-Hisp,7th - 9th Month,523
2014,6b,N.S.,Black Non-Hisp,No PNC,0
2014,6b,<15,Black Hispanic,7th - 9th Month,3
2014,6b,20-24,Other Hispanic,7th - 9th Month,357
2014,6b,Total,Black Hispanic,4th - 6th Month,"1,141"
2014,6b,<15,White Hispanic,No PNC,0
2014,6b,Total,White Non-Hisp,PNC Unk,"1,893"
2014,6b,20-24,White Non-Hisp,PNC Start Unk,164
2014,6b,18-19,Other Non-Hisp,1st - 3rd Month,226
2014,6b,18-19,Black Hispanic,1st - 3rd Month,141
2014,6b,N.S.,White Hispanic,All,1
2014,6b,35-39,Black Non-Hisp,All,"5,407"
2014,6b,45+,Other Hispanic,1st - 3rd Month,34
2014,6b,45+,Black Non-Hisp,No PNC,2
2014,6b,18-19,White Non-Hisp,No PNC,20
2014,6b,18-19,Other Non-Hisp,PNC Start Unk,4
2014,6b,35-39,Other Non-Hisp,PNC Start Unk,30
2014,6b,20-24,Total Births,PNC Unk,923
2014,6b,N.S.,Black Non-Hisp,1st - 3rd Month,0
2014,6b,30-34,Total Births,7th - 9th Month,"2,852"
2014,6b,35-39,Other Non-Hisp,All,"5,733"
2014,6b,40-44,Black Non-Hisp,4th - 6th Month,364
2014,6b,15-17,White Hispanic,7th - 9th Month,83
2014,6b,20-24,Other Non-Hisp,PNC Start Unk,12
2014,6b,30-34,Other Non-Hisp,PNC Unk,102
2014,6b,<15,White Hispanic,1st - 3rd Month,9
2014,6b,18-19,Other Non-Hisp,All,435
2014,6b,25-29,Total Births,PNC Start Unk,739
2014,6b,Total,Total Births,1st - 3rd Month,"172,848"
2014,6b,N.S.,Other Hispanic,PNC Unk,0
2014,6b,25-29,Black Hispanic,4th - 6th Month,303
2014,6b,15-17,Black Non-Hisp,4th - 6th Month,249
2014,6b,18-19,Black Non-Hisp,PNC Unk,41
2014,6b,<15,White Non-Hisp,7th - 9th Month,3
2014,6b,18-19,White Hispanic,7th - 9th Month,130
2014,6b,Total,Black Hispanic,7th - 9th Month,355
2014,6b,Total,White Non-Hisp,7th - 9th Month,"3,087"
2014,6b,30-34,Black Hispanic,4th - 6th Month,221
2014,6b,18-19,Other Hispanic,All,"1,129"
2014,6b,<15,Total Births,No PNC,4
2014,6b,40-44,Other Non-Hisp,All,"1,334"
2014,6b,N.S.,Black Hispanic,PNC Start Unk,0
2014,6b,Total,White Non-Hisp,4th - 6th Month,"16,957"
2014,6b,25-29,Other Non-Hisp,PNC Start Unk,16
2014,6b,18-19,White Non-Hisp,4th - 6th Month,660
2014,6b,35-39,Black Non-Hisp,4th - 6th Month,"1,102"
2014,6b,45+,White Non-Hisp,All,477
2014,6b,30-34,Black Hispanic,7th - 9th Month,58
2014,6b,20-24,Total Births,1st - 3rd Month,"27,066"
2014,6b,15-17,Total Births,7th - 9th Month,322
2014,6b,<15,Black Non-Hisp,7th - 9th Month,7
2014,6b,15-17,White Non-Hisp,PNC Start Unk,1
2014,6b,45+,Other Hispanic,PNC Start Unk,0
2014,6b,25-29,Total Births,7th - 9th Month,"3,199"
2014,6b,20-24,Other Non-Hisp,7th - 9th Month,297
2014,6b,15-17,White Hispanic,PNC Unk,11
2014,6b,35-39,Black Hispanic,No PNC,1
2014,6b,45+,Black Non-Hisp,7th - 9th Month,11
2014,6b,N.S.,White Hispanic,PNC Unk,0
2014,6b,N.S.,Black Hispanic,No PNC,0
2014,6b,Total,White Hispanic,4th - 6th Month,"6,463"
2014,6b,45+,Total Births,4th - 6th Month,164
2014,6b,40-44,Black Non-Hisp,1st - 3rd Month,990
2014,6b,25-29,White Hispanic,All,"7,965"
2014,6b,40-44,Other Non-Hisp,No PNC,11
2014,6b,45+,White Non-Hisp,No PNC,1
2014,6b,25-29,Black Hispanic,All,"1,159"
2014,6b,Total,Black Non-Hisp,1st - 3rd Month,"21,987"
2014,6b,Total,Other Non-Hisp,All,"30,385"
2014,6b,25-29,Black Non-Hisp,PNC Start Unk,81
2014,6b,35-39,Other Hispanic,PNC Unk,40
2014,6b,N.S.,Other Non-Hisp,4th - 6th Month,0
2014,6b,35-39,Total Births,7th - 9th Month,"1,465"
2014,6b,40-44,White Hispanic,4th - 6th Month,209
2014,6b,30-34,Total Births,No PNC,294
2014,6b,N.S.,White Non-Hisp,PNC Start Unk,0
2014,6b,15-17,Total Births,1st - 3rd Month,"1,208"
2014,6b,N.S.,Other Hispanic,All,0
2014,6b,20-24,Total Births,All,"41,877"
2014,6b,35-39,White Non-Hisp,PNC Start Unk,236
2014,6b,15-17,Other Hispanic,4th - 6th Month,196
2014,6b,35-39,White Non-Hisp,All,"20,644"
2014,6b,25-29,Black Hispanic,PNC Start Unk,9
2014,6b,N.S.,Other Hispanic,1st - 3rd Month,0
2014,6b,30-34,White Non-Hisp,PNC Unk,628
2014,6b,35-39,Black Hispanic,PNC Start Unk,2
2014,6b,40-44,Other Hispanic,7th - 9th Month,27
2014,6b,35-39,Total Births,No PNC,186
2014,6b,40-44,Other Hispanic,4th - 6th Month,152
2014,6b,18-19,Other Hispanic,4th - 6th Month,368
2014,6b,15-17,White Non-Hisp,4th - 6th Month,186
2014,6b,<15,Other Non-Hisp,PNC Start Unk,0
2014,6b,20-24,Total Births,PNC Start Unk,404
2014,6b,Total,Black Non-Hisp,All,"35,437"
2014,6b,35-39,Black Non-Hisp,PNC Start Unk,41
2014,6b,45+,White Non-Hisp,4th - 6th Month,70
2014,6b,18-19,Total Births,4th - 6th Month,"2,259"
2014,6b,15-17,Other Hispanic,No PNC,4
2014,6b,N.S.,Other Hispanic,PNC Start Unk,0
2014,6b,40-44,Other Hispanic,PNC Unk,10
2014,6b,35-39,Other Hispanic,1st - 3rd Month,"1,984"
2014,6b,<15,White Non-Hisp,1st - 3rd Month,7
2014,6b,40-44,Total Births,All,"9,707"
2014,6b,40-44,Total Births,PNC Unk,140
2014,6b,<15,White Non-Hisp,No PNC,1
2014,6b,45+,White Non-Hisp,7th - 9th Month,13
2014,6b,35-39,Other Non-Hisp,4th - 6th Month,965
2014,6b,N.S.,Black Hispanic,All,0
2014,6b,40-44,Total Births,4th - 6th Month,"1,696"
2014,6b,45+,Other Non-Hisp,PNC Unk,1
2014,6b,<15,White Hispanic,7th - 9th Month,5
2014,6b,<15,Black Hispanic,4th - 6th Month,2
2014,6b,15-17,White Non-Hisp,1st - 3rd Month,300
2014,6b,30-34,Other Non-Hisp,All,"10,197"
2014,6b,<15,White Hispanic,4th - 6th Month,7
2014,6b,30-34,White Hispanic,7th - 9th Month,335
2014,6b,45+,Other Hispanic,7th - 9th Month,2
2014,6b,35-39,White Hispanic,4th - 6th Month,806
2014,6b,18-19,Total Births,7th - 9th Month,640
2014,6b,30-34,Black Hispanic,No PNC,7
2014,6b,20-24,White Hispanic,1st - 3rd Month,"3,938"
2014,6b,25-29,White Hispanic,1st - 3rd Month,"5,637"
2014,6b,<15,Other Non-Hisp,All,6
2014,6b,18-19,Other Hispanic,No PNC,14
2014,6b,18-19,White Non-Hisp,PNC Start Unk,16
2014,6b,15-17,White Hispanic,No PNC,9
