Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,35-39,Black Non-Hisp,1st - 3rd Month,"3,101"
2008,6b,40-44,Black Non-Hisp,1st - 3rd Month,903
2008,6b,45+,Black Non-Hisp,1st - 3rd Month,62
2008,6b,N.S.,Black Non-Hisp,1st - 3rd Month,0
2008,6b,Total,Black Non-Hisp,4th - 6th Month,"10,365"
2008,6b,<15,Black Non-Hisp,4th - 6th Month,38
2008,6b,15-17,Black Non-Hisp,4th - 6th Month,553
2008,6b,18-19,Black Non-Hisp,4th - 6th Month,"1,003"
2008,6b,20-24,Black Non-Hisp,4th - 6th Month,"2,949"
2008,6b,25-29,Black Non-Hisp,4th - 6th Month,"2,534"
2008,6b,30-34,Black Non-Hisp,4th - 6th Month,"1,760"
2008,6b,35-39,Black Non-Hisp,4th - 6th Month,"1,131"
2008,6b,40-44,Black Non-Hisp,4th - 6th Month,361
2008,6b,45+,Black Non-Hisp,4th - 6th Month,36
2008,6b,N.S.,Black Non-Hisp,4th - 6th Month,0
2008,6b,Total,Black Non-Hisp,7th - 9th Month,"3,381"
2008,6b,<15,Black Non-Hisp,7th - 9th Month,20
2008,6b,15-17,Black Non-Hisp,7th - 9th Month,193
2008,6b,18-19,Black Non-Hisp,7th - 9th Month,338
2008,6b,20-24,Black Non-Hisp,7th - 9th Month,869
2008,6b,25-29,Black Non-Hisp,7th - 9th Month,810
2008,6b,30-34,Black Non-Hisp,7th - 9th Month,660
2008,6b,35-39,Black Non-Hisp,7th - 9th Month,380
2008,6b,40-44,Black Non-Hisp,7th - 9th Month,104
2008,6b,45+,Black Non-Hisp,7th - 9th Month,7
2008,6b,N.S.,Black Non-Hisp,7th - 9th Month,0
2008,6b,Total,Black Non-Hisp,No PNC,840
2008,6b,<15,Black Non-Hisp,No PNC,4
2008,6b,15-17,Black Non-Hisp,No PNC,45
2008,6b,18-19,Black Non-Hisp,No PNC,70
2008,6b,20-24,Black Non-Hisp,No PNC,236
2008,6b,25-29,Black Non-Hisp,No PNC,191
