Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Year	Year Code	Births
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2019	2019	24
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	30
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2021	2021	33
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	499 grams or less	1	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2016	2016	18
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2018	2018	11
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2019	2019	17
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	15
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2021	2021	17
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2016	2016	35
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2017	2017	24
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2018	2018	30
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2019	2019	21
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	29
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2021	2021	42
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2016	2016	21
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2017	2017	17
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2018	2018	22
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2019	2019	19
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	21
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2021	2021	21
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	5000 - 8165 grams	11	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	Unknown or Not Stated	12	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	499 grams or less	1	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	500 - 999 grams	2	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1000 - 1499 grams	3	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2016	2016	17
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2017	2017	18
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2019	2019	11
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2020	2020	11
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	1500 - 1999 grams	4	2021	2021	17
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2016	2016	48
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2017	2017	53
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2018	2018	60
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2019	2019	55
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2020	2020	58
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2000 - 2499 grams	5	2021	2021	39
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2016	2016	222
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2017	2017	232
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2018	2018	213
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2019	2019	244
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2020	2020	193
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2500 - 2999 grams	6	2021	2021	238
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2016	2016	578
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2017	2017	554
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2018	2018	539
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2019	2019	534
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2020	2020	503
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3000 - 3499 grams	7	2021	2021	523
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2016	2016	488
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2017	2017	470
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2018	2018	453
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2019	2019	483
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2020	2020	366
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	3500 - 3999 grams	8	2021	2021	402
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2016	2016	134
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2017	2017	138
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2018	2018	111
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2019	2019	134
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2020	2020	118
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4000 - 4499 grams	9	2021	2021	98
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2016	2016	25
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2017	2017	23
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2018	2018	18
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2019	2019	15
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2020	2020	17
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	4500 - 4999 grams	10	2021	2021	17
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	5000 - 8165 grams	11	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	Unknown or Not Stated	12	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	499 grams or less	1	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	500 - 999 grams	2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1000 - 1499 grams	3	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	1500 - 1999 grams	4	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2000 - 2499 grams	5	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2500 - 2999 grams	6	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3000 - 3499 grams	7	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	3500 - 3999 grams	8	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4000 - 4499 grams	9	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	4500 - 4999 grams	10	2016	2016	Suppressed
