Year,Table,County,Month Prenatal Care Began,Value
2015,12,Kings,4th-6th,6996
2015,12,Ulster,PNC Start Unk,4
2015,12,Ontario,None,3
2015,12,Warren,PNC Unknown,15
2015,12,Genesee,7th-9th,9
2015,12,Nassau,1st-3rd,12188
2015,12,Delaware,4th-6th,58
2015,12,Orange,PNC Start Unk,57
2015,12,Chemung,Total,982
2015,12,Steuben,7th-9th,62
2015,12,Cattaraugus,PNC Unknown,87
2015,12,Jefferson,PNC Unknown,19
2015,12,Dutchess,None,18
2015,12,Schoharie,PNC Start Unk,2
2015,12,New York State,None,1174
2015,12,St Lawrence,None,20
2015,12,Herkimer,Total,608
2015,12,Steuben,Total,1069
2015,12,Saratoga,PNC Unknown,20
2015,12,Richmond,Total,5286
2015,12,Schoharie,1st-3rd,181
2015,12,Seneca,Total,367
2015,12,Schuyler,7th-9th,6
2015,12,St Lawrence,PNC Unknown,63
2015,12,Rest of State,7th-9th,3973
2015,12,Nassau,7th-9th,368
2015,12,Allegany,None,4
2015,12,Erie,PNC Start Unk,16
2015,12,Schuyler,Total,180
2015,12,Warren,7th-9th,21
2015,12,Oneida,Total,2514
2015,12,Monroe,7th-9th,211
2015,12,Madison,None,1
2015,12,Dutchess,Total,2606
2015,12,Oswego,4th-6th,204
2015,12,Allegany,Total,496
2015,12,Putnam,PNC Unknown,6
2015,12,Wayne,7th-9th,34
2015,12,Ontario,PNC Unknown,46
2015,12,Rockland,4th-6th,1122
2015,12,Dutchess,4th-6th,302
2015,12,Franklin,PNC Unknown,3
2015,12,Delaware,7th-9th,13
2015,12,Allegany,7th-9th,41
2015,12,Ulster,7th-9th,69
2015,12,Livingston,None,2
2015,12,Richmond,PNC Unknown,11
2015,12,Seneca,PNC Unknown,9
2015,12,Washington,4th-6th,122
2015,12,Chautauqua,4th-6th,337
2015,12,Nassau,PNC Start Unk,65
2015,12,Suffolk,PNC Start Unk,55
2015,12,Sullivan,PNC Unknown,3
2015,12,Queens,Total,30335
2015,12,Ontario,7th-9th,20
2015,12,Kings,1st-3rd,31179
2015,12,Schenectady,PNC Unknown,16
2015,12,New York City,PNC Start Unk,869
2015,12,Lewis,1st-3rd,248
2015,12,Cattaraugus,Total,880
2015,12,Steuben,PNC Start Unk,5
2015,12,Schoharie,4th-6th,41
2015,12,Putnam,Total,813
2015,12,New York State,PNC Start Unk,3233
2015,12,Orleans,Total,451
2015,12,Putnam,7th-9th,19
2015,12,Oswego,1st-3rd,935
2015,12,Herkimer,7th-9th,33
2015,12,Saratoga,7th-9th,60
2015,12,Orange,1st-3rd,3449
2015,12,Schuyler,1st-3rd,139
2015,12,Livingston,PNC Start Unk,0
2015,12,Schenectady,4th-6th,259
2015,12,Steuben,None,8
2015,12,Erie,1st-3rd,7192
2015,12,Lewis,None,4
2015,12,Livingston,4th-6th,71
2015,12,Rockland,Total,5113
2015,12,Tioga,None,1
2015,12,Monroe,PNC Start Unk,9
2015,12,New York City,4th-6th,21290
2015,12,St Lawrence,4th-6th,273
2015,12,Tioga,Total,465
2015,12,New York State,1st-3rd,174363
2015,12,Cattaraugus,None,7
2015,12,Wayne,1st-3rd,642
2015,12,Essex,Total,336
2015,12,Orange,4th-6th,975
2015,12,Onondaga,PNC Start Unk,5
2015,12,Chenango,Total,492
2015,12,New York,None,46
2015,12,Ontario,Total,1032
2015,12,Cattaraugus,7th-9th,21
2015,12,Genesee,PNC Unknown,16
2015,12,Orleans,1st-3rd,356
2015,12,Franklin,PNC Start Unk,12
2015,12,Ulster,None,7
2015,12,Yates,Total,321
2015,12,Niagara,7th-9th,123
2015,12,Genesee,Total,565
2015,12,Broome,PNC Start Unk,11
2015,12,Hamilton,1st-3rd,22
2015,12,Tompkins,1st-3rd,613
2015,12,Schuyler,None,0
2015,12,Schuyler,4th-6th,32
2015,12,New York,Total,17775
2015,12,Kings,None,132
2015,12,Suffolk,None,108
2015,12,Chemung,None,7
2015,12,Chautauqua,PNC Unknown,33
2015,12,Orange,7th-9th,159
2015,12,Chenango,None,2
2015,12,Sullivan,PNC Start Unk,3
2015,12,Tompkins,4th-6th,161
2015,12,Madison,4th-6th,88
2015,12,Albany,1st-3rd,2462
2015,12,Onondaga,None,46
2015,12,Chautauqua,None,16
2015,12,Broome,None,13
2015,12,Oswego,Total,1199
2015,12,Suffolk,Total,15808
2015,12,Oswego,None,14
2015,12,Chenango,1st-3rd,341
