"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	13
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			29
"Total"	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"					34
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			12
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	11
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	46
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	39
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	21
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	20
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			138
"Total"	"Jefferson County, NY"	"36045"	"White"	"2106-3"					150
"Total"	"Jefferson County, NY"	"36045"							186
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			14
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	89
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	221
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	273
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	150
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	41
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			784
"Total"	"Kings County, NY"	"36047"	"Asian"	"A"					798
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	16
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	53
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	44
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	49
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	27
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			197
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	75
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	289
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	383
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	417
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	274
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	108
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			1551
"Total"	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"					1748
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	43
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	108
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	125
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	125
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	84
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	21
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			507
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	23
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	357
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	335
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	415
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	290
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	106
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	12
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			1540
"Total"	"Kings County, NY"	"36047"	"White"	"2106-3"					2047
"Total"	"Kings County, NY"	"36047"							4593
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	11
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	21
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	12
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			56
"Total"	"Monroe County, NY"	"36055"	"Asian"	"A"					56
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	14
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	14
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	11
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			52
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	39
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	114
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	121
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	97
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	43
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	16
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			431
"Total"	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"					483
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	15
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	33
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	28
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	26
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	13
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			121
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	61
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	105
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	123
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	68
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	13
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			382
"Total"	"Monroe County, NY"	"36055"	"White"	"2106-3"					503
"Total"	"Monroe County, NY"	"36055"							1042
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Nassau County, NY"	"36059"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	24
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	98
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	162
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	107
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	17
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Nassau County, NY"	"36059"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			411
"Total"	"Nassau County, NY"	"36059"	"Asian"	"A"					416
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			33
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	11
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	43
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	64
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	76
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	71
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	26
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			294
"Total"	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"					327
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	26
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	71
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	91
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	90
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	59
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	18
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			355
	"Nassau County, NY"	"36059"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
