"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	Births
	"Ontario County, NY"	"36069"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Ontario County, NY"	"36069"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	55
	"Orange County, NY"	"36071"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Orange County, NY"	"36071"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	10
	"Orange County, NY"	"36071"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	31
	"Orange County, NY"	"36071"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	65
	"Orange County, NY"	"36071"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	114
	"Orange County, NY"	"36071"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	302
	"Oswego County, NY"	"36075"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Oswego County, NY"	"36075"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Oswego County, NY"	"36075"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Oswego County, NY"	"36075"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	143
	"Queens County, NY"	"36081"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	47
	"Queens County, NY"	"36081"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	1748
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	167
	"Queens County, NY"	"36081"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	897
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	749
	"Queens County, NY"	"36081"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	586
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Rensselaer County, NY"	"36083"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	13
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Rensselaer County, NY"	"36083"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	43
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	12
	"Rensselaer County, NY"	"36083"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	125
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Richmond County, NY"	"36085"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	86
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	32
	"Richmond County, NY"	"36085"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	131
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	116
	"Richmond County, NY"	"36085"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	270
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Rockland County, NY"	"36087"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	36
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	13
	"Rockland County, NY"	"36087"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	70
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	101
	"Rockland County, NY"	"36087"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	336
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed
	"St. Lawrence County, NY"	"36089"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	113
	"Saratoga County, NY"	"36091"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Saratoga County, NY"	"36091"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	17
	"Saratoga County, NY"	"36091"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Saratoga County, NY"	"36091"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Saratoga County, NY"	"36091"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	10
	"Saratoga County, NY"	"36091"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	168
	"Schenectady County, NY"	"36093"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Schenectady County, NY"	"36093"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	26
	"Schenectady County, NY"	"36093"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	12
	"Schenectady County, NY"	"36093"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	63
	"Schenectady County, NY"	"36093"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	12
	"Schenectady County, NY"	"36093"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	134
	"Suffolk County, NY"	"36103"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Suffolk County, NY"	"36103"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	141
	"Suffolk County, NY"	"36103"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	46
	"Suffolk County, NY"	"36103"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	278
	"Suffolk County, NY"	"36103"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	592
	"Suffolk County, NY"	"36103"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	786
	"Tompkins County, NY"	"36109"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Tompkins County, NY"	"36109"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Tompkins County, NY"	"36109"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Tompkins County, NY"	"36109"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Tompkins County, NY"	"36109"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	50
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Ulster County, NY"	"36111"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Ulster County, NY"	"36111"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	20
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	29
	"Ulster County, NY"	"36111"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	114
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Westchester County, NY"	"36119"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	130
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	69
	"Westchester County, NY"	"36119"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	264
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	347
	"Westchester County, NY"	"36119"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	362
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Unidentified Counties, NY"	"36999"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	30
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	14
	"Unidentified Counties, NY"	"36999"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	66
	"Unidentified Counties, NY"	"36999"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	99
	"Unidentified Counties, NY"	"36999"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	1670
"---"
"Dataset: Natality, 2016-2021 expanded"
"Query Parameters:"
"Infant Birth Weight 12: 500 - 999 grams; 1000 - 1499 grams; 1500 - 1999 grams; 2000 - 2499 grams"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
